stage_mode,scenario,distance,city
auto_rickshaw,baseline,138127.03366496754,bogota
auto_rickshaw,sc_bus,135375.52204957695,bogota
auto_rickshaw,sc_car,129198.59215074909,bogota
auto_rickshaw,sc_cycle,134612.8569423241,bogota
bus,baseline,38925779.49918654,bogota
bus,sc_bus,45283398.692066506,bogota
bus,sc_car,34730968.013345264,bogota
bus,sc_cycle,37472517.04867521,bogota
bus_driver,baseline,1514621.770396364,bogota
bus_driver,sc_bus,1761999.9491076472,bogota
bus_driver,sc_car,1351399.5335932015,bogota
bus_driver,sc_cycle,1458074.5933336662,bogota
car,baseline,28185306.86771144,bogota
car,sc_bus,22801882.67514591,bogota
car,sc_car,34121725.06520775,bogota
car,sc_cycle,27189099.158095814,bogota
car_driver,baseline,23395622.915778648,bogota
car_driver,sc_bus,18927033.554801084,bogota
car_driver,sc_car,28323232.97412772,bogota
car_driver,sc_cycle,22568706.252094615,bogota
cycle,baseline,3028905.406826921,bogota
cycle,sc_bus,2641208.5443744664,bogota
cycle,sc_car,2774417.2099350533,bogota
cycle,sc_cycle,6253444.08669039,bogota
motorcycle,baseline,14050058.883477107,bogota
motorcycle,sc_bus,12587416.453438034,bogota
motorcycle,sc_car,13227109.373050425,bogota
motorcycle,sc_cycle,13787934.502198867,bogota
other,baseline,265165.508393407,bogota
other,sc_bus,237165.17943850748,bogota
other,sc_car,238137.41308277484,bogota
other,sc_cycle,257206.28027101068,bogota
pedestrian,baseline,7612971.589004321,bogota
pedestrian,sc_bus,7671573.73211213,bogota
pedestrian,sc_car,7097325.121789854,bogota
pedestrian,sc_cycle,7154639.034773074,bogota
rail,baseline,36068.47107873832,bogota
rail,sc_bus,36068.47107873832,bogota
rail,sc_car,34070.66654293994,bogota
rail,sc_cycle,36068.47107873832,bogota
taxi,baseline,6341782.936811938,bogota
taxi,sc_bus,6341782.936811938,bogota
taxi,sc_car,6284674.935189303,bogota
taxi,sc_cycle,6321840.296209149,bogota
truck,baseline,6761083.388006915,bogota
truck,sc_bus,6761083.388006915,bogota
truck,sc_car,6761083.388006915,bogota
truck,sc_cycle,6761083.388006915,bogota
active_travel,baseline,10641876.995831242,bogota
active_travel,sc_bus,10312782.276486596,bogota
active_travel,sc_car,9871742.331724908,bogota
active_travel,sc_cycle,13408083.121463463,bogota
