mode,measure,value,scenario,city,mode_distance,model_population,country,continent
bus,mean,0.13,Baseline predicted,bogota,38925779.49918654,5717079,Colombia,Latin_America
car,mean,0.36,Baseline predicted,bogota,28185306.86771144,5717079,Colombia,Latin_America
cycle,mean,1.1,Baseline predicted,bogota,3028905.406826921,5717079,Colombia,Latin_America
motorcycle,mean,3.42,Baseline predicted,bogota,14050058.883477107,5717079,Colombia,Latin_America
pedestrian,mean,2.92,Baseline predicted,bogota,7612971.589004321,5717079,Colombia,Latin_America
truck,mean,0.03,Baseline predicted,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,mean,4.02,Baseline predicted,bogota,10641876.995831242,5717079,Colombia,Latin_America
bus,ub,0.23,Baseline predicted,bogota,38925779.49918654,5717079,Colombia,Latin_America
car,ub,0.57,Baseline predicted,bogota,28185306.86771144,5717079,Colombia,Latin_America
cycle,ub,1.42,Baseline predicted,bogota,3028905.406826921,5717079,Colombia,Latin_America
motorcycle,ub,4.29,Baseline predicted,bogota,14050058.883477107,5717079,Colombia,Latin_America
pedestrian,ub,3.66,Baseline predicted,bogota,7612971.589004321,5717079,Colombia,Latin_America
truck,ub,0.08,Baseline predicted,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,ub,5.08,Baseline predicted,bogota,10641876.995831242,5717079,Colombia,Latin_America
bus,lb,0.07,Baseline predicted,bogota,38925779.49918654,5717079,Colombia,Latin_America
car,lb,0.23,Baseline predicted,bogota,28185306.86771144,5717079,Colombia,Latin_America
cycle,lb,0.86,Baseline predicted,bogota,3028905.406826921,5717079,Colombia,Latin_America
motorcycle,lb,2.74,Baseline predicted,bogota,14050058.883477107,5717079,Colombia,Latin_America
pedestrian,lb,2.35,Baseline predicted,bogota,7612971.589004321,5717079,Colombia,Latin_America
truck,lb,0.01,Baseline predicted,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,lb,3.21,Baseline predicted,bogota,10641876.995831242,5717079,Colombia,Latin_America
bus,mean,0.12,Bicycling,bogota,37472517.04867521,5717079,Colombia,Latin_America
car,mean,0.35,Bicycling,bogota,27189099.158095814,5717079,Colombia,Latin_America
cycle,mean,1.64,Bicycling,bogota,6253444.08669039,5717079,Colombia,Latin_America
motorcycle,mean,3.35,Bicycling,bogota,13787934.502198867,5717079,Colombia,Latin_America
pedestrian,mean,2.77,Bicycling,bogota,7154639.034773074,5717079,Colombia,Latin_America
truck,mean,0.03,Bicycling,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,mean,4.41,Bicycling,bogota,13408083.121463463,5717079,Colombia,Latin_America
bus,ub,0.22,Bicycling,bogota,37472517.04867521,5717079,Colombia,Latin_America
car,ub,0.56,Bicycling,bogota,27189099.158095814,5717079,Colombia,Latin_America
cycle,ub,2.15,Bicycling,bogota,6253444.08669039,5717079,Colombia,Latin_America
motorcycle,ub,4.22,Bicycling,bogota,13787934.502198867,5717079,Colombia,Latin_America
pedestrian,ub,3.47,Bicycling,bogota,7154639.034773074,5717079,Colombia,Latin_America
truck,ub,0.08,Bicycling,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,ub,5.62,Bicycling,bogota,13408083.121463463,5717079,Colombia,Latin_America
bus,lb,0.07,Bicycling,bogota,37472517.04867521,5717079,Colombia,Latin_America
car,lb,0.23,Bicycling,bogota,27189099.158095814,5717079,Colombia,Latin_America
cycle,lb,1.27,Bicycling,bogota,6253444.08669039,5717079,Colombia,Latin_America
motorcycle,lb,2.69,Bicycling,bogota,13787934.502198867,5717079,Colombia,Latin_America
pedestrian,lb,2.22,Bicycling,bogota,7154639.034773074,5717079,Colombia,Latin_America
truck,lb,0.01,Bicycling,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,lb,3.48,Bicycling,bogota,13408083.121463463,5717079,Colombia,Latin_America
bus,mean,0.12,Car,bogota,34730968.013345264,5717079,Colombia,Latin_America
car,mean,0.42,Car,bogota,34121725.06520775,5717079,Colombia,Latin_America
cycle,mean,1.04,Car,bogota,2774417.2099350533,5717079,Colombia,Latin_America
motorcycle,mean,3.31,Car,bogota,13227109.373050425,5717079,Colombia,Latin_America
pedestrian,mean,2.8,Car,bogota,7097325.121789854,5717079,Colombia,Latin_America
truck,mean,0.03,Car,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,mean,3.84,Car,bogota,9871742.331724908,5717079,Colombia,Latin_America
