mode,measure,value,scenario,city,country,continent,mode_distance,mode_duration
bus,mean,0.4189,Baseline predicted,bogota,Colombia,Latin_America,38925779.49918654,4805651.79002303
car,mean,2.7777,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144,2042413.54113851
cycle,mean,41.0371,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921,420681.306503739
motorcycle,mean,57.8774,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107,924345.9791761255
pedestrian,mean,15.0242,Baseline predicted,bogota,Colombia,Latin_America,7612971.589004321,3045188.635601728
truck,mean,0.5116,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,mean,18.1816,Baseline predicted,bogota,Colombia,Latin_America,10641876.995831242,3465869.9421054674
bus,ub,0.7558,Baseline predicted,bogota,Colombia,Latin_America,38925779.49918654,4805651.79002303
car,ub,4.3974,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144,2042413.54113851
cycle,ub,52.8738,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921,420681.306503739
motorcycle,ub,72.672,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107,924345.9791761255
pedestrian,ub,18.8039,Baseline predicted,bogota,Colombia,Latin_America,7612971.589004321,3045188.635601728
truck,ub,1.5585,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,ub,22.9393,Baseline predicted,bogota,Colombia,Latin_America,10641876.995831242,3465869.9421054674
bus,lb,0.2366,Baseline predicted,bogota,Colombia,Latin_America,38925779.49918654,4805651.79002303
car,lb,1.7744,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144,2042413.54113851
cycle,lb,32.0985,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921,420681.306503739
motorcycle,lb,46.4815,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107,924345.9791761255
pedestrian,lb,12.0688,Baseline predicted,bogota,Colombia,Latin_America,7612971.589004321,3045188.635601728
truck,lb,0.1761,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,lb,14.5,Baseline predicted,bogota,Colombia,Latin_America,10641876.995831242,3465869.9421054674
bus,mean,0.422,Bicycling,bogota,Colombia,Latin_America,37472517.04867521,4626236.672675952
car,mean,2.804,Bicycling,bogota,Colombia,Latin_America,27189099.158095814,1970224.5766736097
cycle,mean,29.5706,Bicycling,bogota,Colombia,Latin_America,6253444.08669039,868533.9009292207
motorcycle,mean,57.8946,Bicycling,bogota,Colombia,Latin_America,13787934.502198867,907100.9540920308
pedestrian,mean,15.1452,Bicycling,bogota,Colombia,Latin_America,7154639.034773074,2861855.6139092296
truck,mean,0.5101,Bicycling,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,mean,18.5038,Bicycling,bogota,Colombia,Latin_America,13408083.121463463,3730389.5148384506
bus,ub,0.7614,Bicycling,bogota,Colombia,Latin_America,37472517.04867521,4626236.672675952
car,ub,4.4405,Bicycling,bogota,Colombia,Latin_America,27189099.158095814,1970224.5766736097
cycle,ub,38.6923,Bicycling,bogota,Colombia,Latin_America,6253444.08669039,868533.9009292207
motorcycle,ub,72.9155,Bicycling,bogota,Colombia,Latin_America,13787934.502198867,907100.9540920308
pedestrian,ub,19.0106,Bicycling,bogota,Colombia,Latin_America,7154639.034773074,2861855.6139092296
truck,ub,1.5528,Bicycling,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,ub,23.593,Bicycling,bogota,Colombia,Latin_America,13408083.121463463,3730389.5148384506
bus,lb,0.2384,Bicycling,bogota,Colombia,Latin_America,37472517.04867521,4626236.672675952
