mode,measure,value,scenario,city,country,continent,mode_distance
bus,mean,0.5172,Baseline predicted,bogota,Colombia,Latin_America,38925779.49918654
car,mean,2.0128,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144
cycle,mean,56.996,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921
motorcycle,mean,38.0772,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107
pedestrian,mean,60.0967,Baseline predicted,bogota,Colombia,Latin_America,7612971.589004321
truck,mean,0.6316,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915
active_travel,mean,59.2142,Baseline predicted,bogota,Colombia,Latin_America,10641876.995831242
bus,ub,0.9331,Baseline predicted,bogota,Colombia,Latin_America,38925779.49918654
car,ub,3.1865,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144
cycle,ub,73.4358,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921
motorcycle,ub,47.8105,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107
pedestrian,ub,75.2157,Baseline predicted,bogota,Colombia,Latin_America,7612971.589004321
truck,ub,1.924,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915
active_travel,ub,74.7091,Baseline predicted,bogota,Colombia,Latin_America,10641876.995831242
bus,lb,0.2921,Baseline predicted,bogota,Colombia,Latin_America,38925779.49918654
car,lb,1.2858,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144
cycle,lb,44.5812,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921
motorcycle,lb,30.5799,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107
pedestrian,lb,48.2752,Baseline predicted,bogota,Colombia,Latin_America,7612971.589004321
truck,lb,0.2174,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915
active_travel,lb,47.2238,Baseline predicted,bogota,Colombia,Latin_America,10641876.995831242
bus,mean,0.521,Bicycling,bogota,Colombia,Latin_America,37472517.04867521
car,mean,2.0319,Bicycling,bogota,Colombia,Latin_America,27189099.158095814
cycle,mean,41.0703,Bicycling,bogota,Colombia,Latin_America,6253444.08669039
motorcycle,mean,38.0886,Bicycling,bogota,Colombia,Latin_America,13787934.502198867
pedestrian,mean,60.5809,Bicycling,bogota,Colombia,Latin_America,7154639.034773074
truck,mean,0.6297,Bicycling,bogota,Colombia,Latin_America,6761083.388006915
active_travel,mean,51.4813,Bicycling,bogota,Colombia,Latin_America,13408083.121463463
bus,ub,0.94,Bicycling,bogota,Colombia,Latin_America,37472517.04867521
car,ub,3.2178,Bicycling,bogota,Colombia,Latin_America,27189099.158095814
cycle,ub,53.7392,Bicycling,bogota,Colombia,Latin_America,6253444.08669039
motorcycle,ub,47.9707,Bicycling,bogota,Colombia,Latin_America,13787934.502198867
pedestrian,ub,76.0425,Bicycling,bogota,Colombia,Latin_America,7154639.034773074
truck,ub,1.9171,Bicycling,bogota,Colombia,Latin_America,6761083.388006915
active_travel,ub,65.6404,Bicycling,bogota,Colombia,Latin_America,13408083.121463463
bus,lb,0.2943,Bicycling,bogota,Colombia,Latin_America,37472517.04867521
car,lb,1.2976,Bicycling,bogota,Colombia,Latin_America,27189099.158095814
cycle,lb,31.7131,Bicycling,bogota,Colombia,Latin_America,6253444.08669039
motorcycle,lb,30.5155,Bicycling,bogota,Colombia,Latin_America,13787934.502198867
pedestrian,lb,48.5562,Bicycling,bogota,Colombia,Latin_America,7154639.034773074
truck,lb,0.2169,Bicycling,bogota,Colombia,Latin_America,6761083.388006915
active_travel,lb,40.7007,Bicycling,bogota,Colombia,Latin_America,13408083.121463463
bus,mean,0.5308,Car,bogota,Colombia,Latin_America,34730968.013345264
car,mean,1.9238,Car,bogota,Colombia,Latin_America,34121725.06520775
cycle,mean,58.8692,Car,bogota,Colombia,Latin_America,2774417.2099350533
motorcycle,mean,39.2248,Car,bogota,Colombia,Latin_America,13227109.373050425
pedestrian,mean,61.8129,Car,bogota,Colombia,Latin_America,7097325.121789854
truck,mean,0.6335,Car,bogota,Colombia,Latin_America,6761083.388006915
active_travel,mean,60.9856,Car,bogota,Colombia,Latin_America,9871742.331724908
bus,ub,0.9591,Car,bogota,Colombia,Latin_America,34730968.013345264
car,ub,3.0314,Car,bogota,Colombia,Latin_America,34121725.06520775
cycle,ub,75.7786,Car,bogota,Colombia,Latin_America,2774417.2099350533
motorcycle,ub,49.1978,Car,bogota,Colombia,Latin_America,13227109.373050425
pedestrian,ub,77.2957,Car,bogota,Colombia,Latin_America,7097325.121789854
truck,ub,1.9321,Car,bogota,Colombia,Latin_America,6761083.388006915
active_travel,ub,76.8693,Car,bogota,Colombia,Latin_America,9871742.331724908
bus,lb,0.2994,Car,bogota,Colombia,Latin_America,34730968.013345264
car,lb,1.2345,Car,bogota,Colombia,Latin_America,34121725.06520775
cycle,lb,46.0835,Car,bogota,Colombia,Latin_America,2774417.2099350533
motorcycle,lb,31.5327,Car,bogota,Colombia,Latin_America,13227109.373050425
pedestrian,lb,49.6906,Car,bogota,Colombia,Latin_America,7097325.121789854
truck,lb,0.2178,Car,bogota,Colombia,Latin_America,6761083.388006915
active_travel,lb,48.6768,Car,bogota,Colombia,Latin_America,9871742.331724908
bus,mean,0.5014,Public Transport,bogota,Colombia,Latin_America,45283398.692066506
car,mean,2.1475,Public Transport,bogota,Colombia,Latin_America,22801882.67514591
cycle,mean,57.3802,Public Transport,bogota,Colombia,Latin_America,2641208.5443744664
motorcycle,mean,38.5805,Public Transport,bogota,Colombia,Latin_America,12587416.453438034
pedestrian,mean,58.559,Public Transport,bogota,Colombia,Latin_America,7671573.73211213
truck,mean,0.625,Public Transport,bogota,Colombia,Latin_America,6761083.388006915
active_travel,mean,58.2571,Public Transport,bogota,Colombia,Latin_America,10312782.276486596
bus,ub,0.9019,Public Transport,bogota,Colombia,Latin_America,45283398.692066506
car,ub,3.4021,Public Transport,bogota,Colombia,Latin_America,22801882.67514591
cycle,ub,73.9918,Public Transport,bogota,Colombia,Latin_America,2641208.5443744664
motorcycle,ub,48.455,Public Transport,bogota,Colombia,Latin_America,12587416.453438034
pedestrian,ub,73.2751,Public Transport,bogota,Colombia,Latin_America,7671573.73211213
truck,ub,1.8966,Public Transport,bogota,Colombia,Latin_America,6761083.388006915
active_travel,ub,73.4587,Public Transport,bogota,Colombia,Latin_America,10312782.276486596
bus,lb,0.284,Public Transport,bogota,Colombia,Latin_America,45283398.692066506
car,lb,1.371,Public Transport,bogota,Colombia,Latin_America,22801882.67514591
cycle,lb,44.8476,Public Transport,bogota,Colombia,Latin_America,2641208.5443744664
motorcycle,lb,30.9761,Public Transport,bogota,Colombia,Latin_America,12587416.453438034
pedestrian,lb,47.0518,Public Transport,bogota,Colombia,Latin_America,7671573.73211213
truck,lb,0.2158,Public Transport,bogota,Colombia,Latin_America,6761083.388006915
active_travel,lb,46.4873,Public Transport,bogota,Colombia,Latin_America,10312782.276486596
bus,mean,0.5172,Baseline,bogota,Colombia,Latin_America,38925779.49918654
car,mean,2.0128,Baseline,bogota,Colombia,Latin_America,28185306.86771144
cycle,mean,56.996,Baseline,bogota,Colombia,Latin_America,3028905.406826921
motorcycle,mean,38.0772,Baseline,bogota,Colombia,Latin_America,14050058.883477107
pedestrian,mean,60.0967,Baseline,bogota,Colombia,Latin_America,7612971.589004321
truck,mean,0.6316,Baseline,bogota,Colombia,Latin_America,6761083.388006915
active_travel,mean,59.2142,Baseline,bogota,Colombia,Latin_America,10641876.995831242
