stage_mode,scenario,distance,city,mode
auto_rickshaw,baseline,138127.03366496754,bogota,NA
auto_rickshaw,sc_bus,127697.91705824513,bogota,NA
auto_rickshaw,sc_car,124902.3549582115,bogota,NA
auto_rickshaw,sc_cycle,132410.33271017155,bogota,NA
bus,baseline,38891386.71347463,bogota,NA
bus,sc_bus,45017466.82029755,bogota,NA
bus,sc_car,34632280.38944122,bogota,NA
bus,sc_cycle,37473492.282025985,bogota,NA
bus_driver,baseline,1513283.529707185,bogota,NA
bus_driver,sc_bus,1751652.4054590494,bogota,NA
bus_driver,sc_car,1347559.5482272857,bogota,NA
bus_driver,sc_cycle,1458112.5401566538,bogota,NA
car,baseline,28185306.86771144,bogota,NA
car,sc_bus,23071166.164199784,bogota,NA
car,sc_car,34244711.29804936,bogota,NA
car,sc_cycle,27213914.045288097,bogota,NA
car_driver,baseline,23395622.915778648,bogota,NA
car_driver,sc_bus,19150556.222016275,bogota,NA
car_driver,sc_car,28425319.481147118,bogota,NA
car_driver,sc_cycle,22589304.209256236,bogota,NA
cycle,baseline,3028905.406826921,bogota,NA
cycle,sc_bus,2575065.755478045,bogota,NA
cycle,sc_car,2749183.1856687455,bogota,NA
cycle,sc_cycle,6201990.383908763,bogota,NA
motorcycle,baseline,14050058.883477107,bogota,NA
motorcycle,sc_bus,12538604.242899053,bogota,NA
motorcycle,sc_car,13210804.283400776,bogota,NA
motorcycle,sc_cycle,13769665.056795605,bogota,NA
other,baseline,265165.508393407,bogota,NA
other,sc_bus,228908.67218257562,bogota,NA
other,sc_car,223860.53595272597,bogota,NA
other,sc_cycle,258462.70528821772,bogota,NA
pedestrian,baseline,7623586.646322806,bogota,NA
pedestrian,sc_bus,7716790.160518484,bogota,NA
pedestrian,sc_car,7111725.767632352,bogota,NA
pedestrian,sc_cycle,7181369.296209926,bogota,NA
rail,baseline,36068.47107873832,bogota,NA
rail,sc_bus,36068.47107873832,bogota,NA
rail,sc_car,32234.846158692784,bogota,NA
rail,sc_cycle,33584.71408828629,bogota,NA
taxi,baseline,6341782.936811938,bogota,NA
taxi,sc_bus,6341782.936811938,bogota,NA
taxi,sc_car,6292881.145996351,bogota,NA
taxi,sc_cycle,6322568.016790152,bogota,NA
truck,baseline,6761083.388006915,bogota,NA
truck,sc_bus,6761083.388006915,bogota,NA
truck,sc_car,6761083.388006915,bogota,NA
truck,sc_cycle,6761083.388006915,bogota,NA
active_travel,baseline,10652492.053149726,bogota,NA
active_travel,sc_bus,10291855.91599653,bogota,NA
active_travel,sc_car,9860908.953301098,bogota,NA
active_travel,sc_cycle,13383359.680118687,bogota,NA
NA,baseline,130230378.3012547,bogota,Total
NA,sc_bus,125316843.15600665,bogota,Total
NA,sc_car,135156546.22463974,bogota,Total
NA,sc_cycle,129395956.97052501,bogota,Total
