mode,measure,value,scenario,city,mode_distance,model_population,country,continent
bus,mean,0.13,Baseline predicted,bogota,38925779.49918654,5717079,Colombia,Latin_America
car,mean,0.36,Baseline predicted,bogota,28185306.86771144,5717079,Colombia,Latin_America
cycle,mean,1.1,Baseline predicted,bogota,3028905.406826921,5717079,Colombia,Latin_America
motorcycle,mean,3.42,Baseline predicted,bogota,14050058.883477107,5717079,Colombia,Latin_America
pedestrian,mean,2.92,Baseline predicted,bogota,7612971.589004321,5717079,Colombia,Latin_America
truck,mean,0.03,Baseline predicted,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,mean,4.02,Baseline predicted,bogota,10641876.995831242,5717079,Colombia,Latin_America
bus,ub,0.23,Baseline predicted,bogota,38925779.49918654,5717079,Colombia,Latin_America
car,ub,0.57,Baseline predicted,bogota,28185306.86771144,5717079,Colombia,Latin_America
cycle,ub,1.42,Baseline predicted,bogota,3028905.406826921,5717079,Colombia,Latin_America
motorcycle,ub,4.29,Baseline predicted,bogota,14050058.883477107,5717079,Colombia,Latin_America
pedestrian,ub,3.66,Baseline predicted,bogota,7612971.589004321,5717079,Colombia,Latin_America
truck,ub,0.08,Baseline predicted,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,ub,5.08,Baseline predicted,bogota,10641876.995831242,5717079,Colombia,Latin_America
bus,lb,0.07,Baseline predicted,bogota,38925779.49918654,5717079,Colombia,Latin_America
car,lb,0.23,Baseline predicted,bogota,28185306.86771144,5717079,Colombia,Latin_America
cycle,lb,0.86,Baseline predicted,bogota,3028905.406826921,5717079,Colombia,Latin_America
motorcycle,lb,2.74,Baseline predicted,bogota,14050058.883477107,5717079,Colombia,Latin_America
pedestrian,lb,2.35,Baseline predicted,bogota,7612971.589004321,5717079,Colombia,Latin_America
truck,lb,0.01,Baseline predicted,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,lb,3.21,Baseline predicted,bogota,10641876.995831242,5717079,Colombia,Latin_America
bus,mean,0.12,Bicycling,bogota,37515223.615491435,5717079,Colombia,Latin_America
car,mean,0.35,Bicycling,bogota,27288591.204665408,5717079,Colombia,Latin_America
cycle,mean,1.61,Bicycling,bogota,6209933.314995517,5717079,Colombia,Latin_America
motorcycle,mean,3.36,Bicycling,bogota,13842405.556339681,5717079,Colombia,Latin_America
pedestrian,mean,2.78,Bicycling,bogota,7198596.035411869,5717079,Colombia,Latin_America
truck,mean,0.03,Bicycling,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,mean,4.38,Bicycling,bogota,13408529.350407386,5717079,Colombia,Latin_America
bus,ub,0.22,Bicycling,bogota,37515223.615491435,5717079,Colombia,Latin_America
car,ub,0.56,Bicycling,bogota,27288591.204665408,5717079,Colombia,Latin_America
cycle,ub,2.1,Bicycling,bogota,6209933.314995517,5717079,Colombia,Latin_America
motorcycle,ub,4.23,Bicycling,bogota,13842405.556339681,5717079,Colombia,Latin_America
pedestrian,ub,3.49,Bicycling,bogota,7198596.035411869,5717079,Colombia,Latin_America
truck,ub,0.08,Bicycling,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,ub,5.59,Bicycling,bogota,13408529.350407386,5717079,Colombia,Latin_America
bus,lb,0.07,Bicycling,bogota,37515223.615491435,5717079,Colombia,Latin_America
car,lb,0.23,Bicycling,bogota,27288591.204665408,5717079,Colombia,Latin_America
cycle,lb,1.24,Bicycling,bogota,6209933.314995517,5717079,Colombia,Latin_America
motorcycle,lb,2.69,Bicycling,bogota,13842405.556339681,5717079,Colombia,Latin_America
pedestrian,lb,2.23,Bicycling,bogota,7198596.035411869,5717079,Colombia,Latin_America
truck,lb,0.01,Bicycling,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,lb,3.47,Bicycling,bogota,13408529.350407386,5717079,Colombia,Latin_America
bus,mean,0.12,Car,bogota,34947020.4776194,5717079,Colombia,Latin_America
car,mean,0.42,Car,bogota,34409515.28466822,5717079,Colombia,Latin_America
cycle,mean,1.03,Car,bogota,2735543.9721774007,5717079,Colombia,Latin_America
motorcycle,mean,3.32,Car,bogota,13280137.609451696,5717079,Colombia,Latin_America
pedestrian,mean,2.82,Car,bogota,7138126.26681243,5717079,Colombia,Latin_America
truck,mean,0.03,Car,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,mean,3.85,Car,bogota,9873670.23898983,5717079,Colombia,Latin_America
