mode,measure,value,scenario,city,country,continent,mode_distance,mode_duration
bus,mean,0.4189,Baseline predicted,bogota,Colombia,Latin_America,38925779.49918654,4805651.79002303
car,mean,2.7777,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144,2042413.54113851
cycle,mean,41.0371,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921,420681.306503739
motorcycle,mean,57.8774,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107,924345.9791761255
pedestrian,mean,15.0242,Baseline predicted,bogota,Colombia,Latin_America,7612971.589004321,3045188.635601728
truck,mean,0.5116,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,mean,18.1816,Baseline predicted,bogota,Colombia,Latin_America,10641876.995831242,3465869.9421054674
bus,ub,0.7558,Baseline predicted,bogota,Colombia,Latin_America,38925779.49918654,4805651.79002303
car,ub,4.3973,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144,2042413.54113851
cycle,ub,52.8737,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921,420681.306503739
motorcycle,ub,72.6717,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107,924345.9791761255
pedestrian,ub,18.8039,Baseline predicted,bogota,Colombia,Latin_America,7612971.589004321,3045188.635601728
truck,ub,1.5584,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,ub,22.9392,Baseline predicted,bogota,Colombia,Latin_America,10641876.995831242,3465869.9421054674
bus,lb,0.2366,Baseline predicted,bogota,Colombia,Latin_America,38925779.49918654,4805651.79002303
car,lb,1.7744,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144,2042413.54113851
cycle,lb,32.0985,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921,420681.306503739
motorcycle,lb,46.4816,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107,924345.9791761255
pedestrian,lb,12.0688,Baseline predicted,bogota,Colombia,Latin_America,7612971.589004321,3045188.635601728
truck,lb,0.1761,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,lb,14.5,Baseline predicted,bogota,Colombia,Latin_America,10641876.995831242,3465869.9421054674
bus,mean,0.4213,Bicycling,bogota,Colombia,Latin_America,37515223.615491435,4631509.088332276
car,mean,2.794,Bicycling,bogota,Colombia,Latin_America,27288591.204665408,1977434.145265609
cycle,mean,29.1962,Bicycling,bogota,Colombia,Latin_America,6209933.314995517,862490.7381938217
motorcycle,mean,57.7738,Bicycling,bogota,Colombia,Latin_America,13842405.556339681,910684.576074979
pedestrian,mean,15.1059,Bicycling,bogota,Colombia,Latin_America,7198596.035411869,2879438.4141647476
truck,mean,0.5101,Bicycling,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,mean,18.3536,Bicycling,bogota,Colombia,Latin_America,13408529.350407386,3741929.152358569
bus,ub,0.7606,Bicycling,bogota,Colombia,Latin_America,37515223.615491435,4631509.088332276
car,ub,4.4264,Bicycling,bogota,Colombia,Latin_America,27288591.204665408,1977434.145265609
cycle,ub,38.1391,Bicycling,bogota,Colombia,Latin_America,6209933.314995517,862490.7381938217
motorcycle,ub,72.7721,Bicycling,bogota,Colombia,Latin_America,13842405.556339681,910684.576074979
pedestrian,ub,18.9625,Bicycling,bogota,Colombia,Latin_America,7198596.035411869,2879438.4141647476
truck,ub,1.5529,Bicycling,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,ub,23.3826,Bicycling,bogota,Colombia,Latin_America,13408529.350407386,3741929.152358569
bus,lb,0.2379,Bicycling,bogota,Colombia,Latin_America,37515223.615491435,4631509.088332276
