mode,measure,value,scenario,city,country,continent,mode_distance
bus,mean,0.5172,Baseline predicted,bogota,Colombia,Latin_America,38925779.49918654
car,mean,2.0128,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144
cycle,mean,56.996,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921
motorcycle,mean,38.0772,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107
pedestrian,mean,60.0967,Baseline predicted,bogota,Colombia,Latin_America,7612971.589004321
truck,mean,0.6316,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915
active_travel,mean,59.2142,Baseline predicted,bogota,Colombia,Latin_America,10641876.995831242
bus,ub,0.9331,Baseline predicted,bogota,Colombia,Latin_America,38925779.49918654
car,ub,3.1865,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144
cycle,ub,73.4356,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921
motorcycle,ub,47.8103,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107
pedestrian,ub,75.2156,Baseline predicted,bogota,Colombia,Latin_America,7612971.589004321
truck,ub,1.924,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915
active_travel,ub,74.709,Baseline predicted,bogota,Colombia,Latin_America,10641876.995831242
bus,lb,0.2921,Baseline predicted,bogota,Colombia,Latin_America,38925779.49918654
car,lb,1.2858,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144
cycle,lb,44.5813,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921
motorcycle,lb,30.58,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107
pedestrian,lb,48.2752,Baseline predicted,bogota,Colombia,Latin_America,7612971.589004321
truck,lb,0.2174,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915
active_travel,lb,47.2238,Baseline predicted,bogota,Colombia,Latin_America,10641876.995831242
bus,mean,0.5201,Bicycling,bogota,Colombia,Latin_America,37515223.615491435
car,mean,2.0246,Bicycling,bogota,Colombia,Latin_America,27288591.204665408
cycle,mean,40.5503,Bicycling,bogota,Colombia,Latin_America,6209933.314995517
motorcycle,mean,38.0091,Bicycling,bogota,Colombia,Latin_America,13842405.556339681
pedestrian,mean,60.4234,Bicycling,bogota,Colombia,Latin_America,7198596.035411869
truck,mean,0.6298,Bicycling,bogota,Colombia,Latin_America,6761083.388006915
active_travel,mean,51.2195,Bicycling,bogota,Colombia,Latin_America,13408529.350407386
bus,ub,0.939,Bicycling,bogota,Colombia,Latin_America,37515223.615491435
car,ub,3.2075,Bicycling,bogota,Colombia,Latin_America,27288591.204665408
cycle,ub,52.971,Bicycling,bogota,Colombia,Latin_America,6209933.314995517
motorcycle,ub,47.8764,Bicycling,bogota,Colombia,Latin_America,13842405.556339681
pedestrian,ub,75.8501,Bicycling,bogota,Colombia,Latin_America,7198596.035411869
truck,ub,1.9172,Bicycling,bogota,Colombia,Latin_America,6761083.388006915
active_travel,ub,65.2541,Bicycling,bogota,Colombia,Latin_America,13408529.350407386
bus,lb,0.2937,Bicycling,bogota,Colombia,Latin_America,37515223.615491435
car,lb,1.2925,Bicycling,bogota,Colombia,Latin_America,27288591.204665408
cycle,lb,31.349,Bicycling,bogota,Colombia,Latin_America,6209933.314995517
motorcycle,lb,30.4482,Bicycling,bogota,Colombia,Latin_America,13842405.556339681
pedestrian,lb,48.4264,Bicycling,bogota,Colombia,Latin_America,7198596.035411869
truck,lb,0.2169,Bicycling,bogota,Colombia,Latin_America,6761083.388006915
active_travel,lb,40.5173,Bicycling,bogota,Colombia,Latin_America,13408529.350407386
bus,mean,0.5293,Car,bogota,Colombia,Latin_America,34947020.4776194
car,mean,1.8924,Car,bogota,Colombia,Latin_America,34409515.28466822
cycle,mean,59.2413,Car,bogota,Colombia,Latin_America,2735543.9721774007
motorcycle,mean,39.1922,Car,bogota,Colombia,Latin_America,13280137.609451696
pedestrian,mean,61.782,Car,bogota,Colombia,Latin_America,7138126.26681243
truck,mean,0.6335,Car,bogota,Colombia,Latin_America,6761083.388006915
active_travel,mean,61.0781,Car,bogota,Colombia,Latin_America,9873670.23898983
bus,ub,0.9568,Car,bogota,Colombia,Latin_America,34947020.4776194
car,ub,2.9824,Car,bogota,Colombia,Latin_America,34409515.28466822
cycle,ub,76.2374,Car,bogota,Colombia,Latin_America,2735543.9721774007
motorcycle,ub,49.1561,Car,bogota,Colombia,Latin_America,13280137.609451696
pedestrian,ub,77.2568,Car,bogota,Colombia,Latin_America,7138126.26681243
truck,ub,1.9318,Car,bogota,Colombia,Latin_America,6761083.388006915
active_travel,ub,76.9744,Car,bogota,Colombia,Latin_America,9873670.23898983
bus,lb,0.2985,Car,bogota,Colombia,Latin_America,34947020.4776194
car,lb,1.2142,Car,bogota,Colombia,Latin_America,34409515.28466822
cycle,lb,46.3873,Car,bogota,Colombia,Latin_America,2735543.9721774007
motorcycle,lb,31.5065,Car,bogota,Colombia,Latin_America,13280137.609451696
pedestrian,lb,49.6657,Car,bogota,Colombia,Latin_America,7138126.26681243
truck,lb,0.2178,Car,bogota,Colombia,Latin_America,6761083.388006915
active_travel,lb,48.7574,Car,bogota,Colombia,Latin_America,9873670.23898983
bus,mean,0.4997,Public Transport,bogota,Colombia,Latin_America,45376931.151856095
car,mean,2.0861,Public Transport,bogota,Colombia,Latin_America,23526969.596016094
cycle,mean,57.5783,Public Transport,bogota,Colombia,Latin_America,2639788.409347168
motorcycle,mean,38.443600000000004,Public Transport,bogota,Colombia,Latin_America,12664241.813595355
pedestrian,mean,58.4841,Public Transport,bogota,Colombia,Latin_America,7685007.691712811
truck,mean,0.625,Public Transport,bogota,Colombia,Latin_America,6761083.388006915
active_travel,mean,58.2525,Public Transport,bogota,Colombia,Latin_America,10324796.101059979
bus,ub,0.8993,Public Transport,bogota,Colombia,Latin_America,45376931.151856095
car,ub,3.2999,Public Transport,bogota,Colombia,Latin_America,23526969.596016094
cycle,ub,74.1964,Public Transport,bogota,Colombia,Latin_America,2639788.409347168
motorcycle,ub,48.289,Public Transport,bogota,Colombia,Latin_America,12664241.813595355
pedestrian,ub,73.1833,Public Transport,bogota,Colombia,Latin_America,7685007.691712811
truck,ub,1.8968,Public Transport,bogota,Colombia,Latin_America,6761083.388006915
active_travel,ub,73.4423,Public Transport,bogota,Colombia,Latin_America,10324796.101059979
bus,lb,0.2829,Public Transport,bogota,Colombia,Latin_America,45376931.151856095
car,lb,1.3335,Public Transport,bogota,Colombia,Latin_America,23526969.596016094
cycle,lb,45.031,Public Transport,bogota,Colombia,Latin_America,2639788.409347168
motorcycle,lb,30.8635,Public Transport,bogota,Colombia,Latin_America,12664241.813595355
pedestrian,lb,46.9903,Public Transport,bogota,Colombia,Latin_America,7685007.691712811
truck,lb,0.2158,Public Transport,bogota,Colombia,Latin_America,6761083.388006915
active_travel,lb,46.4893,Public Transport,bogota,Colombia,Latin_America,10324796.101059979
bus,mean,0.5172,Baseline,bogota,Colombia,Latin_America,38925779.49918654
car,mean,2.0128,Baseline,bogota,Colombia,Latin_America,28185306.86771144
cycle,mean,56.996,Baseline,bogota,Colombia,Latin_America,3028905.406826921
motorcycle,mean,38.0772,Baseline,bogota,Colombia,Latin_America,14050058.883477107
pedestrian,mean,60.0967,Baseline,bogota,Colombia,Latin_America,7612971.589004321
truck,mean,0.6316,Baseline,bogota,Colombia,Latin_America,6761083.388006915
active_travel,mean,59.2142,Baseline,bogota,Colombia,Latin_America,10641876.995831242
