mode,measure,value,scenario,city,country,continent,mode_distance,mode_duration
bus,mean,0.4193,Baseline predicted,bogota,Colombia,Latin_America,38891386.71347463,4801405.767095634
car,mean,2.7777,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144,2042413.54113851
cycle,mean,41.0371,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921,420681.306503739
motorcycle,mean,57.8774,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107,924345.9791761255
pedestrian,mean,15.0033,Baseline predicted,bogota,Colombia,Latin_America,7623586.646322806,3049434.6585291224
truck,mean,0.5116,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,mean,18.159300000000002,Baseline predicted,bogota,Colombia,Latin_America,10652492.053149726,3470115.9650328616
bus,ub,0.7611,Baseline predicted,bogota,Colombia,Latin_America,38891386.71347463,4801405.767095634
car,ub,4.4445,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144,2042413.54113851
cycle,ub,52.8861,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921,420681.306503739
motorcycle,ub,72.7705,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107,924345.9791761255
pedestrian,ub,18.5261,Baseline predicted,bogota,Colombia,Latin_America,7623586.646322806,3049434.6585291224
truck,ub,1.5617,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,ub,22.6915,Baseline predicted,bogota,Colombia,Latin_America,10652492.053149726,3470115.9650328616
bus,lb,0.2358,Baseline predicted,bogota,Colombia,Latin_America,38891386.71347463,4801405.767095634
car,lb,1.7615,Baseline predicted,bogota,Colombia,Latin_America,28185306.86771144,2042413.54113851
cycle,lb,32.1086,Baseline predicted,bogota,Colombia,Latin_America,3028905.406826921,420681.306503739
motorcycle,lb,46.4548,Baseline predicted,bogota,Colombia,Latin_America,14050058.883477107,924345.9791761255
pedestrian,lb,12.1686,Baseline predicted,bogota,Colombia,Latin_America,7623586.646322806,3049434.6585291224
truck,lb,0.1757,Baseline predicted,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,lb,14.5859,Baseline predicted,bogota,Colombia,Latin_America,10652492.053149726,3470115.9650328616
bus,mean,0.4222,Bicycling,bogota,Colombia,Latin_America,37473492.282025985,4626357.07185506
car,mean,2.8151,Bicycling,bogota,Colombia,Latin_America,27213914.045288097,1972022.7569049345
cycle,mean,29.4923,Bicycling,bogota,Colombia,Latin_America,6201990.383908763,861387.5533206614
motorcycle,mean,57.9022,Bicycling,bogota,Colombia,Latin_America,13769665.056795605,905899.0168944477
pedestrian,mean,15.1295,Bicycling,bogota,Colombia,Latin_America,7181369.296209926,2872547.7184839705
truck,mean,0.5102,Bicycling,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,mean,18.4429,Bicycling,bogota,Colombia,Latin_America,13383359.680118687,3733935.2718046317
bus,ub,0.7665,Bicycling,bogota,Colombia,Latin_America,37473492.282025985,4626357.07185506
car,ub,4.506,Bicycling,bogota,Colombia,Latin_America,27213914.045288097,1972022.7569049345
cycle,ub,38.5986,Bicycling,bogota,Colombia,Latin_America,6201990.383908763,861387.5533206614
motorcycle,ub,73.0286,Bicycling,bogota,Colombia,Latin_America,13769665.056795605,905899.0168944477
pedestrian,ub,18.7357,Bicycling,bogota,Colombia,Latin_America,7181369.296209926,2872547.7184839705
truck,ub,1.5567,Bicycling,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,ub,23.3179,Bicycling,bogota,Colombia,Latin_America,13383359.680118687,3733935.2718046317
bus,lb,0.2374,Bicycling,bogota,Colombia,Latin_America,37473492.282025985,4626357.07185506
car,lb,1.7847,Bicycling,bogota,Colombia,Latin_America,27213914.045288097,1972022.7569049345
cycle,lb,22.7861,Bicycling,bogota,Colombia,Latin_America,6201990.383908763,861387.5533206614
motorcycle,lb,46.36,Bicycling,bogota,Colombia,Latin_America,13769665.056795605,905899.0168944477
pedestrian,lb,12.2449,Bicycling,bogota,Colombia,Latin_America,7181369.296209926,2872547.7184839705
truck,lb,0.1753,Bicycling,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,lb,14.6767,Bicycling,bogota,Colombia,Latin_America,13383359.680118687,3733935.2718046317
bus,mean,0.4284,Car,bogota,Colombia,Latin_America,34632280.38944122,4275590.171535954
car,mean,2.5968,Car,bogota,Colombia,Latin_America,34244711.29804936,2481500.818699229
cycle,mean,42.1705,Car,bogota,Colombia,Latin_America,2749183.1856687455,381830.998009548
motorcycle,mean,59.399,Car,bogota,Colombia,Latin_America,13210804.283400776,869131.8607500511
pedestrian,mean,15.3545,Car,bogota,Colombia,Latin_America,7111725.767632352,2844690.307052941
truck,mean,0.512,Car,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,mean,18.5279,Car,bogota,Colombia,Latin_America,9860908.953301098,3226521.305062489
bus,ub,0.7786,Car,bogota,Colombia,Latin_America,34632280.38944122,4275590.171535954
car,ub,4.1372,Car,bogota,Colombia,Latin_America,34244711.29804936,2481500.818699229
cycle,ub,54.3043,Car,bogota,Colombia,Latin_America,2749183.1856687455,381830.998009548
motorcycle,ub,74.5878,Car,bogota,Colombia,Latin_America,13210804.283400776,869131.8607500511
pedestrian,ub,18.9492,Car,bogota,Colombia,Latin_America,7111725.767632352,2844690.307052941
truck,ub,1.5633,Car,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,ub,23.1331,Car,bogota,Colombia,Latin_America,9860908.953301098,3226521.305062489
bus,lb,0.2406,Car,bogota,Colombia,Latin_America,34632280.38944122,4275590.171535954
car,lb,1.6537,Car,bogota,Colombia,Latin_America,34244711.29804936,2481500.818699229
cycle,lb,33.0184,Car,bogota,Colombia,Latin_America,2749183.1856687455,381830.998009548
motorcycle,lb,47.7308,Car,bogota,Colombia,Latin_America,13210804.283400776,869131.8607500511
pedestrian,lb,12.4595,Car,bogota,Colombia,Latin_America,7111725.767632352,2844690.307052941
truck,lb,0.1758,Car,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,lb,14.8924,Car,bogota,Colombia,Latin_America,9860908.953301098,3226521.305062489
bus,mean,0.4065,Public Transport,bogota,Colombia,Latin_America,45017466.82029755,5557711.953123154
car,mean,3.0303,Public Transport,bogota,Colombia,Latin_America,23071166.164199784,1671823.6350869408
cycle,mean,41.5077,Public Transport,bogota,Colombia,Latin_America,2575065.755478045,357648.0215941729
motorcycle,mean,59.0045,Public Transport,bogota,Colombia,Latin_America,12538604.242899053,824908.1738749377
pedestrian,mean,14.6929,Public Transport,bogota,Colombia,Latin_America,7716790.160518484,3086716.0642073937
truck,mean,0.5072,Public Transport,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,mean,17.4772,Public Transport,bogota,Colombia,Latin_America,10291855.91599653,3444364.0858015665
bus,ub,0.7363,Public Transport,bogota,Colombia,Latin_America,45017466.82029755,5557711.953123154
car,ub,4.8449,Public Transport,bogota,Colombia,Latin_America,23071166.164199784,1671823.6350869408
cycle,ub,53.5007,Public Transport,bogota,Colombia,Latin_America,2575065.755478045,357648.0215941729
motorcycle,ub,74.1847,Public Transport,bogota,Colombia,Latin_America,12538604.242899053,824908.1738749377
pedestrian,ub,18.1316,Public Transport,bogota,Colombia,Latin_America,7716790.160518484,3086716.0642073937
truck,ub,1.5435,Public Transport,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,ub,21.8042,Public Transport,bogota,Colombia,Latin_America,10291855.91599653,3444364.0858015665
bus,lb,0.229,Public Transport,bogota,Colombia,Latin_America,45017466.82029755,5557711.953123154
car,lb,1.923,Public Transport,bogota,Colombia,Latin_America,23071166.164199784,1671823.6350869408
cycle,lb,32.4696,Public Transport,bogota,Colombia,Latin_America,2575065.755478045,357648.0215941729
motorcycle,lb,47.3592,Public Transport,bogota,Colombia,Latin_America,12538604.242899053,824908.1738749377
pedestrian,lb,11.923,Public Transport,bogota,Colombia,Latin_America,7716790.160518484,3086716.0642073937
truck,lb,0.1746,Public Transport,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,lb,14.0565,Public Transport,bogota,Colombia,Latin_America,10291855.91599653,3444364.0858015665
bus,mean,0.4193,Baseline,bogota,Colombia,Latin_America,38891386.71347463,4801405.767095634
car,mean,2.7777,Baseline,bogota,Colombia,Latin_America,28185306.86771144,2042413.54113851
cycle,mean,41.0371,Baseline,bogota,Colombia,Latin_America,3028905.406826921,420681.306503739
motorcycle,mean,57.8774,Baseline,bogota,Colombia,Latin_America,14050058.883477107,924345.9791761255
pedestrian,mean,15.0033,Baseline,bogota,Colombia,Latin_America,7623586.646322806,3049434.6585291224
truck,mean,0.5116,Baseline,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
Total,mean,NA,Baseline,bogota,Colombia,Latin_America,136572161.23806664,NA
active_travel,mean,18.159300000000002,Baseline,bogota,Colombia,Latin_America,10652492.053149726,3470115.9650328616
